node_1	node_2	node_1_type	node_2_type	node_1_name	node_2_name
GO:0050965	GO:0019233	biological_function	biological_function	detection of temperature stimulus involved in sensory perception of pain	sensory perception of pain
GO:0050965	GO:0050961	biological_function	biological_function	detection of temperature stimulus involved in sensory perception of pain	detection of temperature stimulus involved in sensory perception
GO:0050999	GO:0032768	biological_function	biological_function	regulation of nitric-oxide synthase activity	regulation of monooxygenase activity
GO:0051000	GO:0050999	biological_function	biological_function	positive regulation of nitric-oxide synthase activity	regulation of nitric-oxide synthase activity
GO:0051000	GO:0032770	biological_function	biological_function	positive regulation of nitric-oxide synthase activity	positive regulation of monooxygenase activity
GO:0051001	GO:0050999	biological_function	biological_function	negative regulation of nitric-oxide synthase activity	regulation of nitric-oxide synthase activity
GO:0051001	GO:0032769	biological_function	biological_function	negative regulation of nitric-oxide synthase activity	negative regulation of monooxygenase activity
GO:0051004	GO:0060191	biological_function	biological_function	regulation of lipoprotein lipase activity	regulation of lipase activity
GO:0051005	GO:0051004	biological_function	biological_function	negative regulation of lipoprotein lipase activity	regulation of lipoprotein lipase activity
GO:0051005	GO:0060192	biological_function	biological_function	negative regulation of lipoprotein lipase activity	negative regulation of lipase activity
GO:0051006	GO:0051004	biological_function	biological_function	positive regulation of lipoprotein lipase activity	regulation of lipoprotein lipase activity
GO:0051006	GO:0061365	biological_function	biological_function	positive regulation of lipoprotein lipase activity	positive regulation of triglyceride lipase activity
GO:0061365	GO:0060193	biological_function	biological_function	positive regulation of triglyceride lipase activity	positive regulation of lipase activity
GO:0051012	GO:0007018	biological_function	biological_function	microtubule sliding	microtubule-based movement
GO:0051013	GO:0000226	biological_function	biological_function	microtubule severing	microtubule cytoskeleton organization
GO:0051014	GO:0030029	biological_function	biological_function	actin filament severing	actin filament-based process
GO:0051016	GO:0051693	biological_function	biological_function	barbed-end actin filament capping	actin filament capping
GO:0051693	GO:0030837	biological_function	biological_function	actin filament capping	negative regulation of actin filament polymerization
GO:0051693	GO:0030835	biological_function	biological_function	actin filament capping	negative regulation of actin filament depolymerization
GO:0061572	GO:0007015	biological_function	biological_function	actin filament bundle organization	actin filament organization
GO:0051023	GO:0002637	biological_function	biological_function	regulation of immunoglobulin secretion	regulation of immunoglobulin production
GO:0051023	GO:0050708	biological_function	biological_function	regulation of immunoglobulin secretion	regulation of protein secretion
GO:0051024	GO:0051023	biological_function	biological_function	positive regulation of immunoglobulin secretion	regulation of immunoglobulin secretion
GO:0051024	GO:0002639	biological_function	biological_function	positive regulation of immunoglobulin secretion	positive regulation of immunoglobulin production
GO:0051024	GO:0050714	biological_function	biological_function	positive regulation of immunoglobulin secretion	positive regulation of protein secretion
GO:0051030	GO:0050658	biological_function	biological_function	snRNA transport	RNA transport
GO:0051040	GO:0022407	biological_function	biological_function	regulation of calcium-independent cell-cell adhesion	regulation of cell-cell adhesion
GO:0051041	GO:0051040	biological_function	biological_function	positive regulation of calcium-independent cell-cell adhesion	regulation of calcium-independent cell-cell adhesion
GO:0051041	GO:0022409	biological_function	biological_function	positive regulation of calcium-independent cell-cell adhesion	positive regulation of cell-cell adhesion
GO:0051042	GO:0051040	biological_function	biological_function	negative regulation of calcium-independent cell-cell adhesion	regulation of calcium-independent cell-cell adhesion
GO:0051042	GO:0022408	biological_function	biological_function	negative regulation of calcium-independent cell-cell adhesion	negative regulation of cell-cell adhesion
GO:0051043	GO:0006509	biological_function	biological_function	regulation of membrane protein ectodomain proteolysis	membrane protein ectodomain proteolysis
GO:0051043	GO:0031329	biological_function	biological_function	regulation of membrane protein ectodomain proteolysis	regulation of cellular catabolic process
GO:0051043	GO:0032268	biological_function	biological_function	regulation of membrane protein ectodomain proteolysis	regulation of cellular protein metabolic process
GO:0051043	GO:0042176	biological_function	biological_function	regulation of membrane protein ectodomain proteolysis	regulation of protein catabolic process
GO:0051043	GO:0030162	biological_function	biological_function	regulation of membrane protein ectodomain proteolysis	regulation of proteolysis
GO:0051044	GO:0006509	biological_function	biological_function	positive regulation of membrane protein ectodomain proteolysis	membrane protein ectodomain proteolysis
GO:0051044	GO:0031331	biological_function	biological_function	positive regulation of membrane protein ectodomain proteolysis	positive regulation of cellular catabolic process
GO:0051044	GO:0045862	biological_function	biological_function	positive regulation of membrane protein ectodomain proteolysis	positive regulation of proteolysis
GO:0051044	GO:0045732	biological_function	biological_function	positive regulation of membrane protein ectodomain proteolysis	positive regulation of protein catabolic process
GO:0051044	GO:0051043	biological_function	biological_function	positive regulation of membrane protein ectodomain proteolysis	regulation of membrane protein ectodomain proteolysis
GO:0051045	GO:0006509	biological_function	biological_function	negative regulation of membrane protein ectodomain proteolysis	membrane protein ectodomain proteolysis
GO:0051045	GO:0051043	biological_function	biological_function	negative regulation of membrane protein ectodomain proteolysis	regulation of membrane protein ectodomain proteolysis
GO:0051045	GO:0031330	biological_function	biological_function	negative regulation of membrane protein ectodomain proteolysis	negative regulation of cellular catabolic process
GO:0051045	GO:0042177	biological_function	biological_function	negative regulation of membrane protein ectodomain proteolysis	negative regulation of protein catabolic process
GO:0051045	GO:0045861	biological_function	biological_function	negative regulation of membrane protein ectodomain proteolysis	negative regulation of proteolysis
GO:0051081	GO:0030397	biological_function	biological_function	nuclear envelope disassembly	membrane disassembly
GO:0051081	GO:0006998	biological_function	biological_function	nuclear envelope disassembly	nuclear envelope organization
GO:0051084	GO:0006458	biological_function	biological_function	'de novo' posttranslational protein folding	'de novo' protein folding
GO:0051085	GO:0061077	biological_function	biological_function	chaperone cofactor-dependent protein refolding	chaperone-mediated protein folding
GO:0051085	GO:0051084	biological_function	biological_function	chaperone cofactor-dependent protein refolding	'de novo' posttranslational protein folding
GO:0061077	GO:0006457	biological_function	biological_function	chaperone-mediated protein folding	protein folding
GO:0051086	GO:0061077	biological_function	biological_function	chaperone mediated protein folding independent of cofactor	chaperone-mediated protein folding
GO:0051086	GO:0051084	biological_function	biological_function	chaperone mediated protein folding independent of cofactor	'de novo' posttranslational protein folding
GO:0051088	GO:0006509	biological_function	biological_function	PMA-inducible membrane protein ectodomain proteolysis	membrane protein ectodomain proteolysis
GO:0051089	GO:0006509	biological_function	biological_function	constitutive protein ectodomain proteolysis	membrane protein ectodomain proteolysis
GO:0051092	GO:0051091	biological_function	biological_function	positive regulation of NF-kappaB transcription factor activity	positive regulation of DNA binding transcription factor activity
GO:0051095	GO:0051336	biological_function	biological_function	regulation of helicase activity	regulation of hydrolase activity
GO:0051096	GO:0051345	biological_function	biological_function	positive regulation of helicase activity	positive regulation of hydrolase activity
GO:0051096	GO:0051095	biological_function	biological_function	positive regulation of helicase activity	regulation of helicase activity
GO:0051097	GO:0051095	biological_function	biological_function	negative regulation of helicase activity	regulation of helicase activity
GO:0051097	GO:0051346	biological_function	biological_function	negative regulation of helicase activity	negative regulation of hydrolase activity
GO:0051105	GO:0006266	biological_function	biological_function	regulation of DNA ligation	DNA ligation
GO:0051105	GO:0051052	biological_function	biological_function	regulation of DNA ligation	regulation of DNA metabolic process
GO:0051106	GO:0006266	biological_function	biological_function	positive regulation of DNA ligation	DNA ligation
GO:0051106	GO:0051054	biological_function	biological_function	positive regulation of DNA ligation	positive regulation of DNA metabolic process
GO:0051106	GO:0051105	biological_function	biological_function	positive regulation of DNA ligation	regulation of DNA ligation
